request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"90-day forecast in IDR; safe today 15656000, minimum balance 24768300. full_payment completes on 2025-08-03; all projected balances preserve the reserve. No spending changes required."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"90-day forecast in ZAR; safe today 6670, minimum balance 20500. full_payment completes on 2026-07-05; all projected balances preserve the reserve. No spending changes required."
request_28,284.46,affordable_later,wait,2024-08-15:1302.4,2024-08-15,none,"90-day forecast in EUR; safe today 284.46, minimum balance 1100. wait completes on 2024-08-15; all projected balances preserve the reserve. No spending changes required."
request_29,0,not_affordable,not_recommended,none,,none,"90-day forecast in ZAR; safe today 0, minimum balance 28300. No eligible plan safely completes the request by its deadline."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"90-day forecast in USD; safe today 775.2, minimum balance 900. installments completes on 2026-06-05; all projected balances preserve the reserve. No spending changes required."
request_31,2576757.22,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"90-day forecast in IDR; safe today 2576757.22, minimum balance 16588900. wait completes on 2024-11-15; all projected balances preserve the reserve. No spending changes required."
request_32,13188.14,affordable_with_plan,full_payment,2025-04-15:40018,,reduce_to:event_2929:1181.4,"90-day forecast in ZAR; safe today 13188.14, minimum balance 35700. full_payment completes on 2025-04-15; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_33,30681.59,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"90-day forecast in INR; safe today 30681.59, minimum balance 102100. wait completes on 2026-03-15; all projected balances preserve the reserve. No spending changes required."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"90-day forecast in INR; safe today 129400, minimum balance 138500. full_payment completes on 2024-12-04; all projected balances preserve the reserve. No spending changes required."
request_35,17111,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"90-day forecast in INR; safe today 17111, minimum balance 106400. wait completes on 2026-01-15; all projected balances preserve the reserve. No spending changes required."
request_36,561.01,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"90-day forecast in USD; safe today 561.01, minimum balance 2400. wait completes on 2026-09-15; all projected balances preserve the reserve. No spending changes required."
request_37,4288319.76,not_affordable,not_recommended,none,,none,"90-day forecast in IDR; safe today 4288319.76, minimum balance 17056200. No eligible plan safely completes the request by its deadline."
request_38,165.44,affordable_later,wait,2025-10-15:971.3,2025-10-15,none,"90-day forecast in EUR; safe today 165.44, minimum balance 400. wait completes on 2025-10-15; all projected balances preserve the reserve. No spending changes required."
request_39,54868.75,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"90-day forecast in INR; safe today 54868.75, minimum balance 213400. wait completes on 2026-06-15; all projected balances preserve the reserve. No spending changes required."
request_40,341.31,affordable_with_plan,full_payment,2024-08-15:1290.3,,reduce_to:event_3710:36.5,"90-day forecast in EUR; safe today 341.31, minimum balance 1500. full_payment completes on 2024-08-15; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_41,7341896.56,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"90-day forecast in IDR; safe today 7341896.56, minimum balance 25366600. wait completes on 2026-01-15; all projected balances preserve the reserve. No spending changes required."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"90-day forecast in INR; safe today 52100, minimum balance 113100. full_payment completes on 2026-01-05; all projected balances preserve the reserve. No spending changes required."
request_43,8375580.68,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"90-day forecast in IDR; safe today 8375580.68, minimum balance 21398000. wait completes on 2024-11-15; all projected balances preserve the reserve. No spending changes required."
request_44,29256.06,affordable_with_plan,full_payment,2025-04-15:95800,,reduce_to:event_4113:2020,"90-day forecast in INR; safe today 29256.06, minimum balance 82900. full_payment completes on 2025-04-15; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_45,3165233.49,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"90-day forecast in IDR; safe today 3165233.49, minimum balance 11149800. wait completes on 2026-09-15; all projected balances preserve the reserve. No spending changes required."
